 LAYER-GAP SIMILARITY PROFILE
============================================================
gap | count | mean_cosine | min_cosine | max_cosine
  2 |    34 | 0.900473949 | 0.041443579 | 0.966015721
  3 |    33 | 0.872869405 | 0.047067031 | 0.952976667
  4 |    32 | 0.848596632 | 0.055271226 | 0.941980118
  5 |    31 | 0.824801270 | 0.053248119 | 0.929591248
  6 |    30 | 0.802983803 | 0.058265367 | 0.916668037
  7 |    29 | 0.784696289 | 0.078174958 | 0.912415317
  8 |    28 | 0.768494502 | 0.085981579 | 0.900582293
  9 |    27 | 0.754841849 | 0.079336149 | 0.892544270
 10 |    26 | 0.742814666 | 0.072189168 | 0.881143182
 11 |    25 | 0.730908331 | 0.065742459 | 0.866743790
 12 |    24 | 0.720593164 | 0.054654500 | 0.855814770
 13 |    23 | 0.711048462 | 0.068494809 | 0.837589736
 14 |    22 | 0.698747724 | 0.059945684 | 0.821991582
 15 |    21 | 0.686406758 | 0.070405700 | 0.803722444
 16 |    20 | 0.674980811 | 0.071806512 | 0.783241663
 17 |    19 | 0.661807543 | 0.076766013 | 0.761900382
 18 |    18 | 0.648073547 | 0.071832740 | 0.745583766
 19 |    17 | 0.632736645 | 0.077448012 | 0.734892983
 20 |    16 | 0.616484568 | 0.069379445 | 0.718424734
 21 |    15 | 0.599697714 | 0.069778300 | 0.703063314
 22 |    14 | 0.581894768 | 0.064562087 | 0.684446878
 23 |    13 | 0.562495091 | 0.062859613 | 0.660708692
 24 |    12 | 0.541572744 | 0.069950320 | 0.647088860
 25 |    11 | 0.519831687 | 0.072587656 | 0.632868326
 26 |    10 | 0.494163983 | 0.066574610 | 0.619326376
 27 |     9 | 0.465467740 | 0.074421282 | 0.589776025
 28 |     8 | 0.432210454 | 0.075835164 | 0.531206485
 29 |     7 | 0.399797116 | 0.073606008 | 0.500214202
 30 |     6 | 0.371511919 | 0.072874018 | 0.486026554
 31 |     5 | 0.351681812 | 0.077825111 | 0.463420028
 32 |     4 | 0.329359631 | 0.071461626 | 0.449433922
 33 |     3 | 0.297159557 | 0.068321005 | 0.438185155
 34 |     2 | 0.247881659 | 0.076419739 | 0.419343580
 35 |     1 | 0.088957833 | 0.088957833 | 0.088957833

Top 20 pairs with layer gap >= 4:
